,pattern,mean,std,mean-2std,mean+2std
346,1.0.0-beta,0.0,0.0,0.0,0.0
818,0.1.2-a0,0.0,0.0,0.0,0.0
753,2.1.1.dev-r1327,0.0,0.0,0.0,0.0
800,1.0-rc.dev,0.0,0.0,0.0,0.0
190,0.0.0a2.post1,0.0,0.0,0.0,0.0
171,1.0-rc-I.dev,0.0,0.0,0.0,0.0
571,1.0-rc1,0.0,0.0,0.0,0.0
933,v0.1.8,0.0,0.0,0.0,0.0
725,0.1.0a-20120508,0.0,0.0,0.0,0.0
160,5.3rc4.post1,0.01,0.09949874371066195,-0.18899748742132388,0.2089974874213239
32,0.0.1rc51.post1,0.01,0.09949874371066195,-0.18899748742132388,0.2089974874213239
506,0.99.2dev-384-2b73caca,0.01,0.09949874371066196,-0.1889974874213239,0.20899748742132393
879,0.1.0-rc2,0.01,0.09949874371066199,-0.18899748742132397,0.20899748742132399
824,1.0-beta1,0.01,0.09949874371066199,-0.18899748742132397,0.20899748742132399
919,0.2.0_alpha.23,0.01,0.09949874371066199,-0.18899748742132397,0.20899748742132399
516,12.4.13-0,0.03,0.1705872210923198,-0.31117444218463963,0.3711744421846396
887,1.0.0-2,0.03,0.1705872210923198,-0.31117444218463963,0.3711744421846396
658,0.0.2a2.dev1,0.03,0.17058722109231977,-0.3111744421846395,0.3711744421846396
1,0.1.21b300.dev2,0.03,0.17058722109231977,-0.3111744421846395,0.3711744421846396
342,0.1.23b4671.dev0,0.03,0.17058722109231977,-0.3111744421846395,0.3711744421846396
293,0.1.20b287.dev0,0.03,0.17058722109231977,-0.3111744421846395,0.3711744421846396
10,1.1.0_dev202111161464816818,0.03,0.1705872210923199,-0.31117444218463985,0.3711744421846398
991,0.3dev,0.04,0.19595917942265417,-0.35191835884530837,0.4319183588453083
637,0.1.5pre,0.05,0.21794494717703355,-0.3858898943540671,0.4858898943540671
292,0.1.1pre,0.05,0.21794494717703355,-0.3858898943540671,0.4858898943540671
664,8.5.4alpha2,0.05,0.21794494717703355,-0.3858898943540671,0.4858898943540671
172,0.1.9dev,0.06,0.23748684174075815,-0.4149736834815163,0.5349736834815163
569,0.0.5dev,0.06,0.23748684174075815,-0.4149736834815163,0.5349736834815163
599,0.1d,0.07,0.2551470164434615,-0.440294032886923,0.580294032886923
695,1.0.11.alpha,0.07,0.25514701644346166,-0.4402940328869233,0.5802940328869233
173,20201204,0.08,0.27129319932501095,-0.4625863986500219,0.6225863986500219
775,20201125,0.08,0.27129319932501095,-0.4625863986500219,0.6225863986500219
763,3,0.08,0.27129319932501095,-0.4625863986500219,0.6225863986500219
213,5.7.post573,0.1,0.29999999999999977,-0.49999999999999956,0.6999999999999995
343,5.6.post562,0.1,0.29999999999999977,-0.49999999999999956,0.6999999999999995
559,3.3.post2,0.1,0.29999999999999977,-0.49999999999999956,0.6999999999999995
101,2020.1.post36,0.1,0.29999999999999977,-0.49999999999999956,0.6999999999999995
556,2020.2.post5,0.1,0.29999999999999977,-0.49999999999999956,0.6999999999999995
18,0.0.11b,0.11,0.3128897569432405,-0.515779513886481,0.735779513886481
794,0.0.2b,0.11,0.31288975694324056,-0.5157795138864811,0.7357795138864811
917,0.5rc2,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
942,1.2rc91,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
328,0.30rc4,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
228,1.4rc6,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
496,1.4rc3,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
332,1.0rc14,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
301,0.6rc2,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
959,1.0rc137,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
733,0.4rc5,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
809,1.1rc195,0.13,0.33630343441600463,-0.5426068688320093,0.8026068688320093
337,12.0.2.0.0.99.dev5,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
832,8.0.2.0.0.99.dev5,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
649,10.0.1.0.1.99.dev13,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
724,9.0.1.0.0.99.dev70,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
464,8.0.1.0.0.99.dev53,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
396,8.0.1.0.0.99.dev14,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
545,12.0.1.5.1.99.dev7,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
744,10.0.1.0.1.99.dev3,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
597,8.0.1.2.0.99.dev18,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
492,9.0.1.0.0.99.dev60,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
673,10.0.1.4.1.99.dev2,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
402,8.0.0.3.0.99.dev13,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
896,12.0.1.2.1.99.dev1,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
626,9.0.1.1.0.99.dev17,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
638,8.0.1.1.0.99.dev15,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
188,12.0.3.1.2.99.dev4,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
674,8.0.1.0.1.99.dev11,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
644,8.0.0.5.1.99.dev2,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
891,9.0.1.0.0.99.dev58,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
72,12.0.1.1.1.99.dev1,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
811,10.0.1.0.0.99.dev5,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
806,12.0.2.1.0.99.dev6,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
129,8.0.1.1.1.99.dev12,0.14,0.34698703145794946,-0.5539740629158989,0.8339740629158989
102,14.0.1.0.1.dev26,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
694,14.0.1.0.1.dev11,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
274,14.0.2.0.1.dev1,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
561,13.0.1.1.2.dev20,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
91,14.0.1.0.2.dev2,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
955,13.0.1.0.1.dev9,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
657,14.0.1.3.3.dev3,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
156,13.0.0.3.1.dev7,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
185,13.0.1.0.1.dev8,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
918,0.2a29,0.21,0.40730823708832625,-0.6046164741766525,1.0246164741766526
35,0.2a18,0.21,0.40730823708832625,-0.6046164741766525,1.0246164741766526
916,1.2a16,0.21,0.40730823708832625,-0.6046164741766525,1.0246164741766526
837,1.3a29,0.21,0.40730823708832625,-0.6046164741766525,1.0246164741766526
973,0.2a41,0.21,0.40730823708832625,-0.6046164741766525,1.0246164741766526
593,13.0.1.2.2.dev1,0.21,0.4073082370883263,-0.6046164741766527,1.0246164741766526
176,0.3a0,0.22,0.41424630354416003,-0.6084926070883201,1.04849260708832
45,0.2a6,0.22,0.41424630354416003,-0.6084926070883201,1.04849260708832
543,0.6a1,0.22,0.41424630354416003,-0.6084926070883201,1.04849260708832
756,4.2b11,0.22,0.41424630354416,-0.60849260708832,1.04849260708832
636,0.18a0,0.22,0.41424630354416003,-0.6084926070883201,1.04849260708832
666,0.1b20230120,0.22,0.41424630354416,-0.60849260708832,1.04849260708832
601,0.3a2,0.22,0.41424630354416003,-0.6084926070883201,1.04849260708832
27,0.4a4,0.22,0.41424630354416003,-0.6084926070883201,1.04849260708832
406,2020.8.dev44,0.22,0.4142463035441601,-0.6084926070883202,1.0484926070883203
377,2020.6.dev14,0.22,0.4142463035441601,-0.6084926070883202,1.0484926070883203
702,2021.1.dev24,0.22,0.4142463035441601,-0.6084926070883202,1.0484926070883203
639,2020.4.dev27,0.22,0.4142463035441601,-0.6084926070883202,1.0484926070883203
146,1.0.dev1,0.23,0.4208325082500161,-0.6116650165000322,1.0716650165000323
