,pattern,mean,std,mean-2std
148,0.9.6rc1,0.26,0.4386342439892261,-0.6172684879784522
322,0.6.1rc5,0.26,0.4386342439892261,-0.6172684879784522
870,2.0.0rc15,0.26,0.4386342439892261,-0.6172684879784522
598,0.8.0rc17,0.26,0.4386342439892261,-0.6172684879784522
265,0.0.0rc7,0.26,0.4386342439892261,-0.6172684879784522
975,0.1.1rc7,0.26,0.4386342439892261,-0.6172684879784522
769,0.34.0rc4,0.26,0.4386342439892261,-0.6172684879784522
152,0.9.5rc1,0.26,0.4386342439892261,-0.6172684879784522
914,2.4.0rc2,0.26,0.4386342439892261,-0.6172684879784522
487,0.3.6rc2,0.26,0.4386342439892261,-0.6172684879784522
534,0.0.0rc1,0.26,0.4386342439892261,-0.6172684879784522
137,2.2.14rc2,0.26,0.4386342439892261,-0.6172684879784522
804,0.17.0rc1,0.26,0.4386342439892261,-0.6172684879784522
880,1.0.40rc2,0.26,0.4386342439892261,-0.6172684879784522
938,1.0.3rc1,0.26,0.4386342439892261,-0.6172684879784522
855,2.0.0rc58,0.26,0.4386342439892261,-0.6172684879784522
386,1.18.0rc0,0.26,0.4386342439892261,-0.6172684879784522
662,0.0.37rc1,0.26,0.4386342439892261,-0.6172684879784522
937,4.3.0rc1,0.26,0.4386342439892261,-0.6172684879784522
946,0.2.2rc2,0.26,0.4386342439892261,-0.6172684879784522
648,0.12.13rc0,0.26,0.4386342439892261,-0.6172684879784522
423,0.1.19rc0,0.26,0.4386342439892261,-0.6172684879784522
843,1.0.0rc15,0.26,0.4386342439892261,-0.6172684879784522
966,1.3.3rc1,0.26,0.4386342439892261,-0.6172684879784522
509,1.25.0rc0,0.26,0.4386342439892261,-0.6172684879784522
505,0.13.0rc0,0.26,0.4386342439892261,-0.6172684879784522
972,1.8.8rc1,0.26,0.4386342439892261,-0.6172684879784522
257,0.6.5rc2,0.26,0.4386342439892261,-0.6172684879784522
668,2.0.0rc34,0.26,0.4386342439892261,-0.6172684879784522
765,0.8.1rc0,0.26,0.4386342439892261,-0.6172684879784522
312,11.0.0rc3,0.26,0.4386342439892261,-0.6172684879784522
574,2023.4.26.15.9.28,0.26,0.43863424398922596,-0.6172684879784519
974,8.4.0.post0,0.26,0.43863424398922596,-0.6172684879784519
294,1.0.2021.4.25.1619359700,0.26,0.43863424398922596,-0.6172684879784519
123,1.1.6.post2,0.26,0.43863424398922596,-0.6172684879784519
83,3.1.2.post2,0.26,0.43863424398922596,-0.6172684879784519
449,0.0.7.post28,0.26,0.43863424398922596,-0.6172684879784519
140,0.2.5.2021.6.1,0.26,0.43863424398922596,-0.6172684879784519
869,0.2.2.2020.12.23,0.26,0.43863424398922596,-0.6172684879784519
14,3.0.1.post3,0.26,0.43863424398922596,-0.6172684879784519
844,3.1.1.post1,0.26,0.43863424398922596,-0.6172684879784519
503,0.2.2.2021.1.4,0.26,0.43863424398922596,-0.6172684879784519
529,0.1.54.post12,0.26,0.43863424398922596,-0.6172684879784519
251,0.2.5.2021.5.3,0.26,0.43863424398922596,-0.6172684879784519
748,0.27.1.post1,0.26,0.43863424398922596,-0.6172684879784519
183,0.1.2.post56,0.26,0.43863424398922596,-0.6172684879784519
826,0.1.56.post57,0.26,0.43863424398922596,-0.6172684879784519
911,0.2.5.2021.3.15,0.26,0.43863424398922596,-0.6172684879784519
581,0.1.3.post1,0.26,0.43863424398922596,-0.6172684879784519
142,0.2.5.2021.4.10,0.26,0.43863424398922596,-0.6172684879784519
483,0.0.20.post1,0.26,0.43863424398922596,-0.6172684879784519
197,0.0.1.post16,0.26,0.43863424398922596,-0.6172684879784519
827,1.1.0.post2,0.26,0.43863424398922596,-0.6172684879784519
936,2023.4.28.14.58.43,0.26,0.43863424398922596,-0.6172684879784519
150,2.0.9.post1,0.26,0.43863424398922596,-0.6172684879784519
915,0.10.4.post1,0.26,0.43863424398922596,-0.6172684879784519
367,0.1.4.post1,0.26,0.43863424398922596,-0.6172684879784519
356,0.1.2.post39,0.26,0.43863424398922596,-0.6172684879784519
489,0.1.2.post52,0.26,0.43863424398922596,-0.6172684879784519
531,1.1.0.post1,0.26,0.43863424398922596,-0.6172684879784519
204,1.16.0.post1,0.26,0.43863424398922596,-0.6172684879784519
427,1.3.2.post2,0.26,0.43863424398922596,-0.6172684879784519
452,16.0.1.0.4.35,0.26,0.43863424398922596,-0.6172684879784519
934,0.2.6.post3,0.26,0.43863424398922596,-0.6172684879784519
311,10.1.3.post1,0.26,0.43863424398922596,-0.6172684879784519
813,1.10.0rc1447610012,0.25,0.4330127018922193,-0.6160254037844386
874,2022.1.27.post2,0.25,0.4330127018922193,-0.6160254037844386
835,2.0.0rc162,0.25,0.4330127018922193,-0.6160254037844386
906,1.10.0rc1683197724,0.25,0.4330127018922193,-0.6160254037844386
135,0.10.226.post2,0.25,0.4330127018922193,-0.6160254037844386
186,1.10.0rc1067777996,0.25,0.4330127018922193,-0.6160254037844386
871,1.10.0rc1399806981,0.25,0.4330127018922193,-0.6160254037844386
