,pattern,mean,std
171,1.0-rc-I.dev,0.0,0.0
933,v0.1.8,0.0,0.0
346,1.0.0-beta,0.0,0.0
725,0.1.0a-20120508,0.0,0.0
571,1.0-rc1,0.0,0.0
818,0.1.2-a0,0.0,0.0
190,0.0.0a2.post1,0.0,0.0
753,2.1.1.dev-r1327,0.0,0.0
800,1.0-rc.dev,0.0,0.0
919,0.2.0_alpha.23,0.01,0.09949874371066199
506,0.99.2dev-384-2b73caca,0.01,0.09949874371066196
824,1.0-beta1,0.01,0.09949874371066199
879,0.1.0-rc2,0.01,0.09949874371066199
160,5.3rc4.post1,0.01,0.09949874371066195
32,0.0.1rc51.post1,0.01,0.09949874371066195
887,1.0.0-2,0.03,0.1705872210923198
10,1.1.0_dev202111161464816818,0.03,0.1705872210923199
516,12.4.13-0,0.03,0.1705872210923198
293,0.1.20b287.dev0,0.03,0.17058722109231977
1,0.1.21b300.dev2,0.03,0.17058722109231977
658,0.0.2a2.dev1,0.03,0.17058722109231977
342,0.1.23b4671.dev0,0.03,0.17058722109231977
991,0.3dev,0.04,0.19595917942265417
637,0.1.5pre,0.05,0.21794494717703355
292,0.1.1pre,0.05,0.21794494717703355
664,8.5.4alpha2,0.05,0.21794494717703355
172,0.1.9dev,0.06,0.23748684174075815
569,0.0.5dev,0.06,0.23748684174075815
695,1.0.11.alpha,0.07,0.25514701644346166
599,0.1d,0.07,0.2551470164434615
763,3,0.08,0.27129319932501095
775,20201125,0.08,0.27129319932501095
173,20201204,0.08,0.27129319932501095
556,2020.2.post5,0.1,0.29999999999999977
559,3.3.post2,0.1,0.29999999999999977
101,2020.1.post36,0.1,0.29999999999999977
213,5.7.post573,0.1,0.29999999999999977
343,5.6.post562,0.1,0.29999999999999977
18,0.0.11b,0.11,0.3128897569432405
794,0.0.2b,0.11,0.31288975694324056
809,1.1rc195,0.13,0.33630343441600463
496,1.4rc3,0.13,0.33630343441600463
301,0.6rc2,0.13,0.33630343441600463
959,1.0rc137,0.13,0.33630343441600463
332,1.0rc14,0.13,0.33630343441600463
733,0.4rc5,0.13,0.33630343441600463
942,1.2rc91,0.13,0.33630343441600463
328,0.30rc4,0.13,0.33630343441600463
228,1.4rc6,0.13,0.33630343441600463
917,0.5rc2,0.13,0.33630343441600463
673,10.0.1.4.1.99.dev2,0.14,0.34698703145794946
832,8.0.2.0.0.99.dev5,0.14,0.34698703145794946
649,10.0.1.0.1.99.dev13,0.14,0.34698703145794946
72,12.0.1.1.1.99.dev1,0.14,0.34698703145794946
644,8.0.0.5.1.99.dev2,0.14,0.34698703145794946
674,8.0.1.0.1.99.dev11,0.14,0.34698703145794946
891,9.0.1.0.0.99.dev58,0.14,0.34698703145794946
638,8.0.1.1.0.99.dev15,0.14,0.34698703145794946
626,9.0.1.1.0.99.dev17,0.14,0.34698703145794946
896,12.0.1.2.1.99.dev1,0.14,0.34698703145794946
402,8.0.0.3.0.99.dev13,0.14,0.34698703145794946
597,8.0.1.2.0.99.dev18,0.14,0.34698703145794946
806,12.0.2.1.0.99.dev6,0.14,0.34698703145794946
396,8.0.1.0.0.99.dev14,0.14,0.34698703145794946
464,8.0.1.0.0.99.dev53,0.14,0.34698703145794946
188,12.0.3.1.2.99.dev4,0.14,0.34698703145794946
492,9.0.1.0.0.99.dev60,0.14,0.34698703145794946
545,12.0.1.5.1.99.dev7,0.14,0.34698703145794946
129,8.0.1.1.1.99.dev12,0.14,0.34698703145794946
811,10.0.1.0.0.99.dev5,0.14,0.34698703145794946
337,12.0.2.0.0.99.dev5,0.14,0.34698703145794946
744,10.0.1.0.1.99.dev3,0.14,0.34698703145794946
724,9.0.1.0.0.99.dev70,0.14,0.34698703145794946
657,14.0.1.3.3.dev3,0.21,0.4073082370883263
